team1;team2;goals1;goals2;pen1;pen2;idx
Qatar;Ecuador;1;3;ND;ND;1
Senegal;Netherlands;0;1;ND;ND;2
Qatar;Senegal;0;1;ND;ND;3
Netherlands;Ecuador;0;1;ND;ND;4
Netherlands;Qatar;2;0;ND;ND;5
Ecuador;Senegal;1;2;ND;ND;6
England;Iran;1;0;ND;ND;7
United_States;Wales;0;2;ND;ND;8
England;United_States;1;1;ND;ND;9
Wales;Iran;0;3;ND;ND;10
Wales;England;1;2;ND;ND;11
Iran;United_States;1;1;ND;ND;12
Argentina;Saudi_Arabia;2;1;ND;ND;13
Mexico;Poland;2;1;ND;ND;14
Argentina;Mexico;1;1;ND;ND;15
Poland;Saudi_Arabia;1;0;ND;ND;16
Poland;Argentina;0;4;ND;ND;17
Saudi_Arabia;Mexico;1;2;ND;ND;18
France;Australia;4;2;ND;ND;19
Denmark;Tunisia;3;2;ND;ND;20
France;Denmark;0;1;ND;ND;21
Tunisia;Australia;0;0;ND;ND;22
Tunisia;France;0;3;ND;ND;23
Australia;Denmark;1;4;ND;ND;24
Spain;Costa_Rica;0;2;ND;ND;25
Germany;Japan;1;2;ND;ND;26
Spain;Germany;2;0;ND;ND;27
Japan;Costa_Rica;0;3;ND;ND;28
Japan;Spain;0;2;ND;ND;29
Costa_Rica;Germany;0;2;ND;ND;30
Belgium;Canada;3;2;ND;ND;31
Morocco;Croatia;1;1;ND;ND;32
Belgium;Morocco;2;2;ND;ND;33
Croatia;Canada;2;0;ND;ND;34
Croatia;Belgium;1;2;ND;ND;35
Canada;Morocco;0;1;ND;ND;36
Brazil;Serbia;3;1;ND;ND;37
Switzerland;Cameroon;3;1;ND;ND;38
Brazil;Switzerland;3;1;ND;ND;39
Cameroon;Serbia;2;5;ND;ND;40
Cameroon;Brazil;0;1;ND;ND;41
Serbia;Switzerland;0;0;ND;ND;42
Portugal;Ghana;5;0;ND;ND;43
Uruguay;South_Korea;0;1;ND;ND;44
Portugal;Uruguay;2;1;ND;ND;45
South_Korea;Ghana;1;2;ND;ND;46
South_Korea;Portugal;1;1;ND;ND;47
Ghana;Uruguay;2;2;ND;ND;48
Ecuador;Iran;0;1;ND;ND;49
Argentina;France;0;1;ND;ND;50
Costa_Rica;Morocco;1;2;ND;ND;51
Brazil;South_Korea;1;1;3;2;52
Netherlands;England;2;0;ND;ND;53
Mexico;Denmark;0;1;ND;ND;54
Spain;Belgium;0;1;ND;ND;55
Serbia;Portugal;3;1;ND;ND;56
Iran;France;1;0;ND;ND;57
Morocco;Brazil;2;3;ND;ND;58
Netherlands;Denmark;3;1;ND;ND;59
Belgium;Serbia;1;0;ND;ND;60
Iran;Brazil;2;1;ND;ND;61
Netherlands;Belgium;2;1;ND;ND;62
Brazil;Belgium;0;2;ND;ND;63
Iran;Netherlands;1;1;5;4;64
Qatar;Ecuador;0;2;ND;ND;1
Senegal;Netherlands;0;2;ND;ND;2
Qatar;Senegal;3;1;ND;ND;3
Netherlands;Ecuador;0;0;ND;ND;4
Netherlands;Qatar;1;0;ND;ND;5
Ecuador;Senegal;2;0;ND;ND;6
England;Iran;1;2;ND;ND;7
United_States;Wales;1;1;ND;ND;8
England;United_States;2;2;ND;ND;9
Wales;Iran;0;1;ND;ND;10
Wales;England;1;1;ND;ND;11
Iran;United_States;3;1;ND;ND;12
Argentina;Saudi_Arabia;5;0;ND;ND;13
Mexico;Poland;3;2;ND;ND;14
Argentina;Mexico;2;0;ND;ND;15
Poland;Saudi_Arabia;1;0;ND;ND;16
Poland;Argentina;1;1;ND;ND;17
Saudi_Arabia;Mexico;2;1;ND;ND;18
France;Australia;1;0;ND;ND;19
Denmark;Tunisia;2;0;ND;ND;20
France;Denmark;0;4;ND;ND;21
Tunisia;Australia;1;0;ND;ND;22
Tunisia;France;0;0;ND;ND;23
Australia;Denmark;1;0;ND;ND;24
Spain;Costa_Rica;0;0;ND;ND;25
Germany;Japan;4;3;ND;ND;26
Spain;Germany;1;1;ND;ND;27
Japan;Costa_Rica;3;1;ND;ND;28
Japan;Spain;0;1;ND;ND;29
Costa_Rica;Germany;0;1;ND;ND;30
Belgium;Canada;0;1;ND;ND;31
Morocco;Croatia;0;1;ND;ND;32
Belgium;Morocco;2;1;ND;ND;33
Croatia;Canada;0;1;ND;ND;34
Croatia;Belgium;1;1;ND;ND;35
Canada;Morocco;3;0;ND;ND;36
Brazil;Serbia;2;0;ND;ND;37
Switzerland;Cameroon;1;0;ND;ND;38
Brazil;Switzerland;3;0;ND;ND;39
Cameroon;Serbia;1;3;ND;ND;40
Cameroon;Brazil;3;2;ND;ND;41
Serbia;Switzerland;0;1;ND;ND;42
Portugal;Ghana;1;0;ND;ND;43
Uruguay;South_Korea;1;2;ND;ND;44
Portugal;Uruguay;3;2;ND;ND;45
South_Korea;Ghana;0;0;ND;ND;46
South_Korea;Portugal;1;1;ND;ND;47
Ghana;Uruguay;1;0;ND;ND;48
Ecuador;England;0;0;4;2;49
Argentina;Tunisia;4;0;ND;ND;50
Germany;Belgium;1;0;ND;ND;51
Brazil;South_Korea;0;1;ND;ND;52
Netherlands;Iran;3;0;ND;ND;53
Poland;Denmark;2;1;ND;ND;54
Spain;Canada;2;0;ND;ND;55
Switzerland;Portugal;0;3;ND;ND;56
Ecuador;Argentina;2;1;ND;ND;57
Germany;South_Korea;2;2;4;2;58
Netherlands;Poland;1;0;ND;ND;59
Spain;Portugal;0;0;5;3;60
Ecuador;Germany;1;1;5;4;61
Netherlands;Spain;0;1;ND;ND;62
Germany;Netherlands;0;4;ND;ND;63
Ecuador;Spain;2;1;ND;ND;64
Qatar;Ecuador;3;3;ND;ND;1
Senegal;Netherlands;1;1;ND;ND;2
Qatar;Senegal;1;1;ND;ND;3
Netherlands;Ecuador;5;1;ND;ND;4
Netherlands;Qatar;5;0;ND;ND;5
Ecuador;Senegal;0;1;ND;ND;6
England;Iran;1;1;ND;ND;7
United_States;Wales;3;1;ND;ND;8
England;United_States;2;2;ND;ND;9
Wales;Iran;0;2;ND;ND;10
Wales;England;1;2;ND;ND;11
Iran;United_States;1;2;ND;ND;12
Argentina;Saudi_Arabia;2;0;ND;ND;13
Mexico;Poland;1;0;ND;ND;14
Argentina;Mexico;2;0;ND;ND;15
Poland;Saudi_Arabia;3;1;ND;ND;16
Poland;Argentina;0;1;ND;ND;17
Saudi_Arabia;Mexico;0;1;ND;ND;18
France;Australia;2;0;ND;ND;19
Denmark;Tunisia;0;0;ND;ND;20
France;Denmark;1;0;ND;ND;21
Tunisia;Australia;1;2;ND;ND;22
Tunisia;France;0;2;ND;ND;23
Australia;Denmark;0;1;ND;ND;24
Spain;Costa_Rica;3;1;ND;ND;25
Germany;Japan;0;2;ND;ND;26
Spain;Germany;1;0;ND;ND;27
Japan;Costa_Rica;0;1;ND;ND;28
Japan;Spain;0;4;ND;ND;29
Costa_Rica;Germany;2;0;ND;ND;30
Belgium;Canada;3;0;ND;ND;31
Morocco;Croatia;1;1;ND;ND;32
Belgium;Morocco;1;1;ND;ND;33
Croatia;Canada;1;1;ND;ND;34
Croatia;Belgium;3;2;ND;ND;35
Canada;Morocco;0;1;ND;ND;36
Brazil;Serbia;0;0;ND;ND;37
Switzerland;Cameroon;1;0;ND;ND;38
Brazil;Switzerland;1;0;ND;ND;39
Cameroon;Serbia;2;2;ND;ND;40
Cameroon;Brazil;0;1;ND;ND;41
Serbia;Switzerland;1;0;ND;ND;42
Portugal;Ghana;2;2;ND;ND;43
Uruguay;South_Korea;1;1;ND;ND;44
Portugal;Uruguay;0;1;ND;ND;45
South_Korea;Ghana;0;0;ND;ND;46
South_Korea;Portugal;0;2;ND;ND;47
Ghana;Uruguay;0;0;ND;ND;48
Netherlands;England;2;0;ND;ND;49
Argentina;Denmark;3;1;ND;ND;50
Spain;Morocco;1;0;ND;ND;51
Brazil;Portugal;2;0;ND;ND;52
Senegal;United_States;0;3;ND;ND;53
Mexico;France;1;4;ND;ND;54
Costa_Rica;Croatia;3;1;ND;ND;55
Serbia;Uruguay;1;0;ND;ND;56
Netherlands;Argentina;2;3;ND;ND;57
Spain;Brazil;0;4;ND;ND;58
United_States;France;2;1;ND;ND;59
Costa_Rica;Serbia;2;1;ND;ND;60
Argentina;Brazil;2;0;ND;ND;61
United_States;Costa_Rica;2;0;ND;ND;62
Brazil;Costa_Rica;1;1;8;7;63
Argentina;United_States;2;0;ND;ND;64
Qatar;Ecuador;1;1;ND;ND;1
Senegal;Netherlands;1;3;ND;ND;2
Qatar;Senegal;0;1;ND;ND;3
Netherlands;Ecuador;0;1;ND;ND;4
Netherlands;Qatar;1;2;ND;ND;5
Ecuador;Senegal;2;0;ND;ND;6
England;Iran;1;2;ND;ND;7
United_States;Wales;2;1;ND;ND;8
England;United_States;0;0;ND;ND;9
Wales;Iran;0;4;ND;ND;10
Wales;England;0;3;ND;ND;11
Iran;United_States;3;1;ND;ND;12
Argentina;Saudi_Arabia;4;0;ND;ND;13
Mexico;Poland;2;0;ND;ND;14
Argentina;Mexico;0;0;ND;ND;15
Poland;Saudi_Arabia;1;1;ND;ND;16
Poland;Argentina;0;3;ND;ND;17
Saudi_Arabia;Mexico;0;1;ND;ND;18
France;Australia;1;1;ND;ND;19
Denmark;Tunisia;2;0;ND;ND;20
France;Denmark;2;1;ND;ND;21
Tunisia;Australia;1;4;ND;ND;22
Tunisia;France;1;2;ND;ND;23
Australia;Denmark;0;3;ND;ND;24
Spain;Costa_Rica;0;1;ND;ND;25
Germany;Japan;1;0;ND;ND;26
Spain;Germany;0;1;ND;ND;27
Japan;Costa_Rica;2;2;ND;ND;28
Japan;Spain;0;4;ND;ND;29
Costa_Rica;Germany;1;0;ND;ND;30
Belgium;Canada;1;1;ND;ND;31
Morocco;Croatia;0;0;ND;ND;32
Belgium;Morocco;3;0;ND;ND;33
Croatia;Canada;1;0;ND;ND;34
Croatia;Belgium;0;1;ND;ND;35
Canada;Morocco;1;1;ND;ND;36
Brazil;Serbia;3;2;ND;ND;37
Switzerland;Cameroon;1;0;ND;ND;38
Brazil;Switzerland;3;1;ND;ND;39
Cameroon;Serbia;1;1;ND;ND;40
Cameroon;Brazil;0;5;ND;ND;41
Serbia;Switzerland;0;4;ND;ND;42
Portugal;Ghana;1;0;ND;ND;43
Uruguay;South_Korea;2;1;ND;ND;44
Portugal;Uruguay;0;0;ND;ND;45
South_Korea;Ghana;0;1;ND;ND;46
South_Korea;Portugal;1;4;ND;ND;47
Ghana;Uruguay;0;3;ND;ND;48
Ecuador;England;1;0;ND;ND;49
Argentina;Denmark;2;2;5;6;50
Costa_Rica;Croatia;0;3;ND;ND;51
Brazil;Uruguay;1;0;ND;ND;52
Qatar;Iran;1;1;5;4;53
Mexico;France;0;3;ND;ND;54
Germany;Belgium;2;1;ND;ND;55
Switzerland;Portugal;0;1;ND;ND;56
Ecuador;Denmark;0;0;2;4;57
Croatia;Brazil;0;2;ND;ND;58
Qatar;France;1;4;ND;ND;59
Germany;Portugal;1;1;4;2;60
Denmark;Brazil;0;0;9;10;61
France;Germany;1;1;4;5;62
Denmark;France;0;0;4;2;63
Brazil;Germany;0;0;3;5;64
Qatar;Ecuador;1;0;ND;ND;1
Senegal;Netherlands;0;3;ND;ND;2
Qatar;Senegal;4;0;ND;ND;3
Netherlands;Ecuador;1;0;ND;ND;4
Netherlands;Qatar;2;0;ND;ND;5
Ecuador;Senegal;0;1;ND;ND;6
England;Iran;2;1;ND;ND;7
United_States;Wales;2;1;ND;ND;8
England;United_States;2;2;ND;ND;9
Wales;Iran;1;0;ND;ND;10
Wales;England;2;2;ND;ND;11
Iran;United_States;0;0;ND;ND;12
Argentina;Saudi_Arabia;4;2;ND;ND;13
Mexico;Poland;1;1;ND;ND;14
Argentina;Mexico;1;0;ND;ND;15
Poland;Saudi_Arabia;4;0;ND;ND;16
Poland;Argentina;2;3;ND;ND;17
Saudi_Arabia;Mexico;1;1;ND;ND;18
France;Australia;3;0;ND;ND;19
Denmark;Tunisia;2;0;ND;ND;20
France;Denmark;0;2;ND;ND;21
Tunisia;Australia;4;1;ND;ND;22
Tunisia;France;0;2;ND;ND;23
Australia;Denmark;0;1;ND;ND;24
Spain;Costa_Rica;2;1;ND;ND;25
Germany;Japan;3;2;ND;ND;26
Spain;Germany;1;1;ND;ND;27
Japan;Costa_Rica;1;0;ND;ND;28
Japan;Spain;0;0;ND;ND;29
Costa_Rica;Germany;1;1;ND;ND;30
Belgium;Canada;3;2;ND;ND;31
Morocco;Croatia;1;3;ND;ND;32
Belgium;Morocco;0;0;ND;ND;33
Croatia;Canada;4;0;ND;ND;34
Croatia;Belgium;1;1;ND;ND;35
Canada;Morocco;0;1;ND;ND;36
Brazil;Serbia;1;1;ND;ND;37
Switzerland;Cameroon;4;0;ND;ND;38
Brazil;Switzerland;2;0;ND;ND;39
Cameroon;Serbia;0;2;ND;ND;40
Cameroon;Brazil;0;0;ND;ND;41
Serbia;Switzerland;0;2;ND;ND;42
Portugal;Ghana;3;1;ND;ND;43
Uruguay;South_Korea;1;1;ND;ND;44
Portugal;Uruguay;2;2;ND;ND;45
South_Korea;Ghana;1;1;ND;ND;46
South_Korea;Portugal;2;2;ND;ND;47
Ghana;Uruguay;1;2;ND;ND;48
Netherlands;United_States;3;3;5;4;49
Argentina;France;0;0;5;4;50
Germany;Belgium;4;1;ND;ND;51
Switzerland;Uruguay;3;1;ND;ND;52
Qatar;England;1;0;ND;ND;53
Poland;Denmark;1;1;3;0;54
Spain;Croatia;2;0;ND;ND;55
Brazil;Portugal;0;0;5;4;56
Netherlands;Argentina;0;2;ND;ND;57
Germany;Switzerland;1;0;ND;ND;58
Qatar;Poland;1;2;ND;ND;59
Spain;Brazil;0;4;ND;ND;60
Argentina;Germany;1;1;4;3;61
Poland;Brazil;0;3;ND;ND;62
Germany;Poland;0;0;2;3;63
Argentina;Brazil;3;0;ND;ND;64
Qatar;Ecuador;1;2;ND;ND;1
Senegal;Netherlands;2;1;ND;ND;2
Qatar;Senegal;0;0;ND;ND;3
Netherlands;Ecuador;0;0;ND;ND;4
Netherlands;Qatar;1;1;ND;ND;5
Ecuador;Senegal;1;0;ND;ND;6
England;Iran;2;0;ND;ND;7
United_States;Wales;1;0;ND;ND;8
England;United_States;0;1;ND;ND;9
Wales;Iran;1;0;ND;ND;10
Wales;England;1;1;ND;ND;11
Iran;United_States;0;0;ND;ND;12
Argentina;Saudi_Arabia;2;0;ND;ND;13
Mexico;Poland;0;1;ND;ND;14
Argentina;Mexico;1;1;ND;ND;15
Poland;Saudi_Arabia;1;1;ND;ND;16
Poland;Argentina;0;2;ND;ND;17
Saudi_Arabia;Mexico;0;0;ND;ND;18
France;Australia;2;1;ND;ND;19
Denmark;Tunisia;1;1;ND;ND;20
France;Denmark;3;2;ND;ND;21
Tunisia;Australia;2;0;ND;ND;22
Tunisia;France;1;2;ND;ND;23
Australia;Denmark;2;1;ND;ND;24
Spain;Costa_Rica;3;2;ND;ND;25
Germany;Japan;0;0;ND;ND;26
Spain;Germany;0;4;ND;ND;27
Japan;Costa_Rica;1;2;ND;ND;28
Japan;Spain;1;1;ND;ND;29
Costa_Rica;Germany;1;2;ND;ND;30
Belgium;Canada;1;0;ND;ND;31
Morocco;Croatia;1;2;ND;ND;32
Belgium;Morocco;2;1;ND;ND;33
Croatia;Canada;2;0;ND;ND;34
Croatia;Belgium;0;1;ND;ND;35
Canada;Morocco;1;0;ND;ND;36
Brazil;Serbia;3;2;ND;ND;37
Switzerland;Cameroon;4;1;ND;ND;38
Brazil;Switzerland;0;0;ND;ND;39
Cameroon;Serbia;1;2;ND;ND;40
Cameroon;Brazil;2;3;ND;ND;41
Serbia;Switzerland;0;2;ND;ND;42
Portugal;Ghana;3;0;ND;ND;43
Uruguay;South_Korea;1;2;ND;ND;44
Portugal;Uruguay;1;0;ND;ND;45
South_Korea;Ghana;3;0;ND;ND;46
South_Korea;Portugal;1;1;ND;ND;47
Ghana;Uruguay;0;1;ND;ND;48
Ecuador;England;1;2;ND;ND;49
Argentina;Tunisia;3;0;ND;ND;50
Germany;Croatia;1;0;ND;ND;51
Switzerland;Portugal;0;3;ND;ND;52
Senegal;United_States;1;1;7;6;53
Poland;France;0;1;ND;ND;54
Spain;Belgium;3;1;ND;ND;55
Brazil;South_Korea;2;1;ND;ND;56
England;Argentina;1;3;ND;ND;57
Germany;Portugal;0;1;ND;ND;58
Senegal;France;0;3;ND;ND;59
Spain;Brazil;0;0;3;1;60
Argentina;Portugal;0;1;ND;ND;61
France;Spain;0;2;ND;ND;62
Argentina;France;0;1;ND;ND;63
Portugal;Spain;1;1;4;3;64
Qatar;Ecuador;3;0;ND;ND;1
Senegal;Netherlands;1;3;ND;ND;2
Qatar;Senegal;1;2;ND;ND;3
Netherlands;Ecuador;4;1;ND;ND;4
Netherlands;Qatar;2;1;ND;ND;5
Ecuador;Senegal;0;1;ND;ND;6
England;Iran;1;2;ND;ND;7
United_States;Wales;2;1;ND;ND;8
England;United_States;0;0;ND;ND;9
Wales;Iran;0;1;ND;ND;10
Wales;England;1;0;ND;ND;11
Iran;United_States;0;3;ND;ND;12
Argentina;Saudi_Arabia;1;1;ND;ND;13
Mexico;Poland;1;0;ND;ND;14
Argentina;Mexico;0;2;ND;ND;15
Poland;Saudi_Arabia;2;3;ND;ND;16
Poland;Argentina;1;3;ND;ND;17
Saudi_Arabia;Mexico;1;1;ND;ND;18
France;Australia;1;1;ND;ND;19
Denmark;Tunisia;3;1;ND;ND;20
France;Denmark;0;1;ND;ND;21
Tunisia;Australia;2;1;ND;ND;22
Tunisia;France;0;3;ND;ND;23
Australia;Denmark;1;1;ND;ND;24
Spain;Costa_Rica;2;1;ND;ND;25
Germany;Japan;3;1;ND;ND;26
Spain;Germany;2;1;ND;ND;27
Japan;Costa_Rica;2;0;ND;ND;28
Japan;Spain;2;3;ND;ND;29
Costa_Rica;Germany;1;0;ND;ND;30
Belgium;Canada;2;0;ND;ND;31
Morocco;Croatia;2;1;ND;ND;32
Belgium;Morocco;1;0;ND;ND;33
Croatia;Canada;0;2;ND;ND;34
Croatia;Belgium;0;3;ND;ND;35
Canada;Morocco;3;1;ND;ND;36
Brazil;Serbia;1;3;ND;ND;37
Switzerland;Cameroon;3;1;ND;ND;38
Brazil;Switzerland;3;1;ND;ND;39
Cameroon;Serbia;1;0;ND;ND;40
Cameroon;Brazil;0;3;ND;ND;41
Serbia;Switzerland;1;3;ND;ND;42
Portugal;Ghana;1;0;ND;ND;43
Uruguay;South_Korea;3;0;ND;ND;44
Portugal;Uruguay;0;1;ND;ND;45
South_Korea;Ghana;2;0;ND;ND;46
South_Korea;Portugal;0;0;ND;ND;47
Ghana;Uruguay;0;3;ND;ND;48
Netherlands;Iran;0;2;ND;ND;49
Mexico;France;1;0;ND;ND;50
Spain;Canada;1;0;ND;ND;51
Brazil;Portugal;4;2;ND;ND;52
Senegal;United_States;1;1;3;4;53
Saudi_Arabia;Denmark;0;1;ND;ND;54
Germany;Belgium;2;1;ND;ND;55
Switzerland;Uruguay;1;2;ND;ND;56
Iran;Mexico;0;0;5;4;57
Spain;Brazil;0;2;ND;ND;58
United_States;Denmark;1;0;ND;ND;59
Germany;Uruguay;0;0;2;4;60
Iran;Brazil;0;1;ND;ND;61
United_States;Uruguay;1;0;ND;ND;62
Iran;Uruguay;0;0;13;12;63
Brazil;United_States;1;0;ND;ND;64
Qatar;Ecuador;3;0;ND;ND;1
Senegal;Netherlands;0;3;ND;ND;2
Qatar;Senegal;1;1;ND;ND;3
Netherlands;Ecuador;1;1;ND;ND;4
Netherlands;Qatar;3;0;ND;ND;5
Ecuador;Senegal;1;0;ND;ND;6
England;Iran;0;0;ND;ND;7
United_States;Wales;1;2;ND;ND;8
England;United_States;1;0;ND;ND;9
Wales;Iran;2;1;ND;ND;10
Wales;England;1;3;ND;ND;11
Iran;United_States;1;1;ND;ND;12
Argentina;Saudi_Arabia;3;2;ND;ND;13
Mexico;Poland;1;3;ND;ND;14
Argentina;Mexico;4;0;ND;ND;15
Poland;Saudi_Arabia;4;0;ND;ND;16
Poland;Argentina;0;1;ND;ND;17
Saudi_Arabia;Mexico;1;4;ND;ND;18
France;Australia;3;0;ND;ND;19
Denmark;Tunisia;3;0;ND;ND;20
France;Denmark;2;1;ND;ND;21
Tunisia;Australia;1;2;ND;ND;22
Tunisia;France;1;2;ND;ND;23
Australia;Denmark;0;2;ND;ND;24
Spain;Costa_Rica;2;0;ND;ND;25
Germany;Japan;0;2;ND;ND;26
Spain;Germany;1;1;ND;ND;27
Japan;Costa_Rica;0;1;ND;ND;28
Japan;Spain;0;4;ND;ND;29
Costa_Rica;Germany;1;1;ND;ND;30
Belgium;Canada;1;1;ND;ND;31
Morocco;Croatia;1;2;ND;ND;32
Belgium;Morocco;0;0;ND;ND;33
Croatia;Canada;0;1;ND;ND;34
Croatia;Belgium;1;0;ND;ND;35
Canada;Morocco;2;1;ND;ND;36
Brazil;Serbia;0;1;ND;ND;37
Switzerland;Cameroon;2;1;ND;ND;38
Brazil;Switzerland;1;2;ND;ND;39
Cameroon;Serbia;1;2;ND;ND;40
Cameroon;Brazil;0;2;ND;ND;41
Serbia;Switzerland;0;1;ND;ND;42
Portugal;Ghana;3;0;ND;ND;43
Uruguay;South_Korea;4;1;ND;ND;44
Portugal;Uruguay;2;1;ND;ND;45
South_Korea;Ghana;3;3;ND;ND;46
South_Korea;Portugal;0;1;ND;ND;47
Ghana;Uruguay;1;0;ND;ND;48
Netherlands;Wales;1;2;ND;ND;49
Argentina;Denmark;2;0;ND;ND;50
Spain;Croatia;2;2;3;4;51
Switzerland;Ghana;3;1;ND;ND;52
Qatar;England;0;1;ND;ND;53
Poland;France;0;2;ND;ND;54
Costa_Rica;Canada;3;0;ND;ND;55
Serbia;Portugal;0;1;ND;ND;56
Wales;Argentina;0;2;ND;ND;57
Croatia;Switzerland;0;2;ND;ND;58
England;France;0;0;4;5;59
Costa_Rica;Portugal;1;0;ND;ND;60
Argentina;Switzerland;1;1;4;3;61
France;Costa_Rica;4;1;ND;ND;62
Switzerland;Costa_Rica;1;0;ND;ND;63
Argentina;France;2;0;ND;ND;64
Qatar;Ecuador;0;1;ND;ND;1
Senegal;Netherlands;1;3;ND;ND;2
Qatar;Senegal;2;0;ND;ND;3
Netherlands;Ecuador;1;2;ND;ND;4
Netherlands;Qatar;1;1;ND;ND;5
Ecuador;Senegal;0;2;ND;ND;6
England;Iran;0;3;ND;ND;7
United_States;Wales;0;4;ND;ND;8
England;United_States;3;0;ND;ND;9
Wales;Iran;0;1;ND;ND;10
Wales;England;1;4;ND;ND;11
Iran;United_States;1;0;ND;ND;12
Argentina;Saudi_Arabia;2;1;ND;ND;13
Mexico;Poland;0;2;ND;ND;14
Argentina;Mexico;2;2;ND;ND;15
Poland;Saudi_Arabia;2;3;ND;ND;16
Poland;Argentina;0;1;ND;ND;17
Saudi_Arabia;Mexico;0;0;ND;ND;18
France;Australia;3;1;ND;ND;19
Denmark;Tunisia;2;1;ND;ND;20
France;Denmark;1;2;ND;ND;21
Tunisia;Australia;0;0;ND;ND;22
Tunisia;France;0;0;ND;ND;23
Australia;Denmark;0;3;ND;ND;24
Spain;Costa_Rica;0;2;ND;ND;25
Germany;Japan;0;1;ND;ND;26
Spain;Germany;1;2;ND;ND;27
Japan;Costa_Rica;1;1;ND;ND;28
Japan;Spain;1;3;ND;ND;29
Costa_Rica;Germany;0;0;ND;ND;30
Belgium;Canada;4;0;ND;ND;31
Morocco;Croatia;0;4;ND;ND;32
Belgium;Morocco;2;0;ND;ND;33
Croatia;Canada;1;0;ND;ND;34
Croatia;Belgium;2;3;ND;ND;35
Canada;Morocco;2;1;ND;ND;36
Brazil;Serbia;1;1;ND;ND;37
Switzerland;Cameroon;1;0;ND;ND;38
Brazil;Switzerland;1;0;ND;ND;39
Cameroon;Serbia;0;1;ND;ND;40
Cameroon;Brazil;0;3;ND;ND;41
Serbia;Switzerland;1;1;ND;ND;42
Portugal;Ghana;1;5;ND;ND;43
Uruguay;South_Korea;3;0;ND;ND;44
Portugal;Uruguay;1;1;ND;ND;45
South_Korea;Ghana;2;3;ND;ND;46
South_Korea;Portugal;0;1;ND;ND;47
Ghana;Uruguay;1;4;ND;ND;48
Ecuador;England;0;2;ND;ND;49
Argentina;France;0;0;4;2;50
Costa_Rica;Croatia;1;2;ND;ND;51
Brazil;Ghana;3;1;ND;ND;52
Netherlands;Iran;1;1;3;4;53
Saudi_Arabia;Denmark;0;2;ND;ND;54
Germany;Belgium;1;3;ND;ND;55
Serbia;Uruguay;0;0;5;4;56
England;Argentina;0;3;ND;ND;57
Croatia;Brazil;0;2;ND;ND;58
Iran;Denmark;1;0;ND;ND;59
Belgium;Serbia;1;0;ND;ND;60
Argentina;Brazil;0;0;9;10;61
Iran;Belgium;1;3;ND;ND;62
Argentina;Iran;2;1;ND;ND;63
Brazil;Belgium;1;2;ND;ND;64
Qatar;Ecuador;1;0;ND;ND;1
Senegal;Netherlands;0;3;ND;ND;2
Qatar;Senegal;4;2;ND;ND;3
Netherlands;Ecuador;1;0;ND;ND;4
Netherlands;Qatar;2;0;ND;ND;5
Ecuador;Senegal;2;2;ND;ND;6
England;Iran;1;2;ND;ND;7
United_States;Wales;2;1;ND;ND;8
England;United_States;1;1;ND;ND;9
Wales;Iran;1;1;ND;ND;10
Wales;England;0;2;ND;ND;11
Iran;United_States;0;4;ND;ND;12
Argentina;Saudi_Arabia;3;0;ND;ND;13
Mexico;Poland;1;1;ND;ND;14
Argentina;Mexico;5;1;ND;ND;15
Poland;Saudi_Arabia;3;0;ND;ND;16
Poland;Argentina;0;2;ND;ND;17
Saudi_Arabia;Mexico;0;2;ND;ND;18
France;Australia;0;0;ND;ND;19
Denmark;Tunisia;1;0;ND;ND;20
France;Denmark;1;0;ND;ND;21
Tunisia;Australia;1;2;ND;ND;22
Tunisia;France;0;2;ND;ND;23
Australia;Denmark;0;2;ND;ND;24
Spain;Costa_Rica;0;1;ND;ND;25
Germany;Japan;0;1;ND;ND;26
Spain;Germany;1;1;ND;ND;27
Japan;Costa_Rica;0;1;ND;ND;28
Japan;Spain;0;2;ND;ND;29
Costa_Rica;Germany;1;0;ND;ND;30
Belgium;Canada;0;1;ND;ND;31
Morocco;Croatia;1;2;ND;ND;32
Belgium;Morocco;3;1;ND;ND;33
Croatia;Canada;2;0;ND;ND;34
Croatia;Belgium;0;0;ND;ND;35
Canada;Morocco;4;2;ND;ND;36
Brazil;Serbia;1;1;ND;ND;37
Switzerland;Cameroon;2;1;ND;ND;38
Brazil;Switzerland;2;0;ND;ND;39
Cameroon;Serbia;0;4;ND;ND;40
Cameroon;Brazil;1;3;ND;ND;41
Serbia;Switzerland;2;0;ND;ND;42
Portugal;Ghana;1;1;ND;ND;43
Uruguay;South_Korea;1;0;ND;ND;44
Portugal;Uruguay;2;1;ND;ND;45
South_Korea;Ghana;0;1;ND;ND;46
South_Korea;Portugal;1;1;ND;ND;47
Ghana;Uruguay;0;2;ND;ND;48
Netherlands;England;0;1;ND;ND;49
Argentina;Denmark;0;0;3;0;50
Costa_Rica;Canada;2;0;ND;ND;51
Serbia;Portugal;1;2;ND;ND;52
Qatar;United_States;3;1;ND;ND;53
Poland;France;0;1;ND;ND;54
Spain;Croatia;0;0;4;5;55
Brazil;Uruguay;2;0;ND;ND;56
England;Argentina;0;1;ND;ND;57
Costa_Rica;Portugal;3;0;ND;ND;58
Qatar;France;0;3;ND;ND;59
Croatia;Brazil;1;1;1;3;60
Argentina;Costa_Rica;2;0;ND;ND;61
France;Brazil;1;2;ND;ND;62
Costa_Rica;France;1;3;ND;ND;63
Argentina;Brazil;0;1;ND;ND;64
Qatar;Ecuador;2;0;ND;ND;1
Senegal;Netherlands;0;1;ND;ND;2
